"Team","Season","FOPct","WinPct"
"Air Force",20142015,52.8,0.439024390243902
"Alabama-Huntsville",20142015,45.7,0.263157894736842
"Alaska",20142015,49.9,0.588235294117647
"Alaska-Anchorage",20142015,47.1,0.294117647058824
"American International",20142015,43,0.208333333333333
"Army",20142015,49,0.294117647058824
"Bemidji State",20142015,51.3,0.486842105263158
"Bentley",20142015,51.5,0.527027027027027
"Boston College",20142015,49.1,0.592105263157895
"Boston University",20142015,49,0.74390243902439
"Bowling Green",20142015,49.3,0.653846153846154
"Brown",20142015,48.6,0.306451612903226
"Canisius",20142015,52,0.581081081081081
"Clarkson",20142015,51.9,0.391891891891892
"Colgate",20142015,53.6,0.631578947368421
"Colorado College",20142015,45.4,0.214285714285714
"Connecticut",20142015,50.7,0.375
"Cornell",20142015,52.2,0.451612903225806
"Dartmouth",20142015,52.8,0.575757575757576
"Denver",20142015,52,0.625
"Ferris State",20142015,45.8,0.475
"Harvard",20142015,48.3,0.608108108108108
"Holy Cross",20142015,52.4,0.445945945945946
"Lake Superior",20142015,46,0.236842105263158
"Maine",20142015,50.4,0.397435897435897
"Massachusetts",20142015,48.1,0.333333333333333
"Massachusetts-Lowell",20142015,50.7,0.615384615384615
"Mercyhurst",20142015,43.9,0.538461538461538
"Merrimack",20142015,49.9,0.473684210526316
"Miami",20142015,54.8,0.6375
"Michigan",20142015,53.1,0.594594594594595
"Michigan State",20142015,51.6,0.514285714285714
"Michigan Tech",20142015,52.9,0.731707317073171
"Minnesota",20142015,55.6,0.628205128205128
"Minnesota-Duluth",20142015,45.9,0.5625
"Minnesota State",20142015,54.5,0.7625
"Nebraska-Omaha",20142015,48.1,0.58974358974359
"New Hampshire",20142015,47.4,0.5
"Niagara",20142015,47.9,0.230769230769231
"North Dakota",20142015,52.9,0.726190476190476
"Northeastern",20142015,49,0.5
"Northern Michigan",20142015,52,0.447368421052632
"Notre Dame",20142015,50.7,0.488095238095238
"Ohio State",20142015,47.4,0.430555555555556
"Penn State",20142015,50,0.540540540540541
"Princeton",20142015,41.9,0.183333333333333
"Providence",20142015,54.2,0.658536585365854
"Quinnipiac",20142015,52.6,0.641025641025641
"Rensselaer",20142015,42.9,0.329268292682927
"RIT",20142015,54.5,0.5625
"Robert Morris",20142015,50,0.716216216216216
"Sacred Heart",20142015,49.4,0.421052631578947
"St. Cloud State",20142015,50,0.5125
"St. Lawrence",20142015,50.7,0.581081081081081
"Union",20142015,53.4,0.512820512820513
"Vermont",20142015,48.7,0.585365853658537
"Western Michigan",20142015,51.8,0.445945945945946
"Wisconsin",20142015,48.1,0.185714285714286
"Yale",20142015,52.7,0.621212121212121
"Air Force",20152016,49.3,0.608108108108108
"Alabama-Huntsville",20152016,49,0.294117647058824
"Alaska",20152016,49.8,0.333333333333333
"Alaska-Anchorage",20152016,45,0.367647058823529
"American International",20152016,45,0.217948717948718
"Arizona State",20152016,41.3,0.12
"Army",20152016,48.9,0.486842105263158
"Bemidji State",20152016,51.9,0.512820512820513
"Bentley",20152016,47.2,0.425
"Boston College",20152016,55.1,0.74390243902439
"Boston University",20152016,53.1,0.602564102564103
"Bowling Green",20152016,50.6,0.595238095238095
"Brown",20152016,50.2,0.274193548387097
"Canisius",20152016,52.5,0.371794871794872
"Clarkson",20152016,52.3,0.565789473684211
"Colgate",20152016,53.9,0.324324324324324
"Colorado College",20152016,45.1,0.180555555555556
"Connecticut",20152016,51,0.361111111111111
"Cornell",20152016,49.4,0.573529411764706
"Dartmouth",20152016,49.7,0.528571428571429
"Denver",20152016,52.2,0.682926829268293
"Ferris State",20152016,50.1,0.560975609756098
"Harvard",20152016,47.6,0.617647058823529
"Holy Cross",20152016,52.3,0.569444444444444
"Lake Superior",20152016,47.1,0.402439024390244
"Maine",20152016,49.5,0.289473684210526
"Massachusetts",20152016,47.9,0.277777777777778
"Massachusetts-Lowell",20152016,50.7,0.6875
"Mercyhurst",20152016,47.4,0.527777777777778
"Merrimack",20152016,49,0.423076923076923
"Miami",20152016,50,0.458333333333333
"Michigan",20152016,50.2,0.723684210526316
"Michigan State",20152016,50.6,0.324324324324324
"Michigan Tech",20152016,48.4,0.689189189189189
"Minnesota",20152016,56,0.540540540540541
"Minnesota-Duluth",20152016,48,0.5375
"Minnesota State",20152016,53,0.597560975609756
"Nebraska-Omaha",20152016,50,0.513888888888889
"New Hampshire",20152016,47.8,0.378378378378378
"Niagara",20152016,50.8,0.243243243243243
"North Dakota",20152016,50.2,0.818181818181818
"Northeastern",20152016,48.3,0.597560975609756
"Northern Michigan",20152016,53.7,0.486842105263158
"Notre Dame",20152016,53.2,0.608108108108108
"Ohio State",20152016,48.4,0.444444444444444
"Penn State",20152016,51.1,0.605263157894737
"Princeton",20152016,41.4,0.209677419354839
"Providence",20152016,52.8,0.763157894736842
"Quinnipiac",20152016,53.8,0.825581395348837
"Rensselaer",20152016,46,0.5375
"RIT",20152016,53.6,0.538461538461538
"Robert Morris",20152016,49.6,0.666666666666667
"Sacred Heart",20152016,47.6,0.405405405405405
"St. Cloud State",20152016,53.3,0.768292682926829
"St. Lawrence",20152016,52.9,0.567567567567568
"Union",20152016,56.6,0.486111111111111
"Vermont",20152016,44.9,0.4125
"Western Michigan",20152016,50,0.263888888888889
"Wisconsin",20152016,48.7,0.342857142857143
"Yale",20152016,49.4,0.65625
